Topic Area,Jurisdiction Level,Jurisdiction Name,Year Enacted,Policy Name / Number,Brief Description,Partisan Control at Passage,Current Status,Implementing Agency,Source Link
License Plate Readers,State,New Hampshire,2016,NH Rev. Stat. 261:75-b,Restricts ALPR use to law enforcement officers only; data retention limited to 3 minutes unless connected to active investigation.,Republican trifecta,Active,NH Department of Safety,https://www.gencourt.state.nh.us/rsa/html/xxi/261/261-75-b.htm
License Plate Readers,State,California,2015,SB 34 (Civil Code 1798.90.5),Requires all ALPR operators (public and private) to post a usage and privacy policy online; CHP data retention limited to 60 days.,Democratic trifecta,Active,California Highway Patrol / California AG,https://www.eff.org/pages/california-automated-license-plate-reader-policies
License Plate Readers,State,Vermont,2016,23 VSA 1607-1608,Limits ALPR data retention to 18 months; requires annual reporting to legislature on ALPR usage.,Divided government,Active,Vermont Intelligence Center,https://legislature.vermont.gov/statutes/section/23/013/01607
License Plate Readers,State,Maine,2015,29-A MRSA 2117-A,Limits ALPR data retention to 21 days unless part of active criminal investigation.,Divided government,Active,Maine State Police,https://legislature.maine.gov/statutes/29-A/title29-Asec2117-A.html
License Plate Readers,State,Utah,2015,UCA 41-6a-2001 to 2005,Restricts ALPR data use to criminal justice purposes; limits retention; prohibits sale of data; requires audits.,Republican trifecta,Active,Utah Dept. of Public Safety,https://le.utah.gov/xcode/Title41/Chapter6a/41-6a-S2003.html
License Plate Readers,State,Colorado,2015,CRS 24-72-113,Requires passive surveillance records (including ALPR data) to be destroyed within 3 years; access restricted after 1 year.,Divided government,Active,Colorado State Patrol,https://leg.colorado.gov/sites/default/files/images/olls/crs2023-title-24.pdf
License Plate Readers,State,Minnesota,2015,MSA 13.824 and 626.8472,Classifies ALPR data as private; restricts use; requires law enforcement policies for ALPR use.,Divided government,Active,Minnesota BCA,https://www.revisor.mn.gov/statutes/cite/13.824
License Plate Readers,State,Nebraska,2015,Neb. Rev. Stat. 60-3201 to 3209,Restricts ALPR use to governmental entities for criminal justice purposes; limits data retention; requires annual reporting.,Nonpartisan legislature,Active,Nebraska Commission on Law Enforcement,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3201
License Plate Readers,State,Montana,2017,MCA 46-5-117 to 118,Limits ALPR data retention; restricts use to law enforcement purposes; requires warrant for historical queries.,Republican trifecta,Active,Montana DOJ,https://leg.mt.gov/bills/mca/title_0460/chapter_0050/part_0010/section_0170/0460-0050-0010-0170.html
License Plate Readers,State,North Carolina,2015,NCGS 20-183.30 to 183.33,Requires ALPR data retention limits of 90 days; mandates audits and reporting of system use.,Republican trifecta,Active,NC DMV / Law Enforcement,https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_20/Article_3D.pdf
